"Index","Name","Category","Definition Link"
,"Philippines National ID","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-philippines-national-identification-number"
,"Philippines passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-philippines-passport-number"
,"Philippines Unified Multi-Purpose ID Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-philippines-unified-multi-purpose-identification-number"
,"Poland driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-poland-drivers-license-number"
,"Poland identity card","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-poland-identity-card"
,"Poland national ID (PESEL)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-poland-national-id"
,"Poland Passport","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-poland-passport-number"
,"Poland physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-poland-physical-addresses"
,"Polish REGON Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-poland-regon-number"
,"Poland tax identification number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-poland-tax-identification-number"
,"Portugal citizen card number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-portugal-citizen-card-number"
,"Portugal driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-portugal-drivers-license-number"
,"Portugal passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-portugal-passport-number"
